image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
5787.pgm,256x256,4998,3.7864,TRUE,inf,0.003411044,0.001546755,7.997530393,223.6015625,93.35174561,4.18821447
5788.pgm,256x256,3141,3.6475,TRUE,inf,0.009557299,0.001838278,7.997041337,269.2265625,94.60449219,4.32926552
5789.pgm,256x256,1635,3.5544,TRUE,inf,0.005634514,0.005562644,7.997518747,225.09375,95.73669434,4.453944786
579.pgm,256x256,7065,3.9993,TRUE,inf,0.003635859,0.006090044,7.996854613,285.875,92.05474854,4.002847111
5790.pgm,256x256,10082,4.8938,TRUE,inf,0.003120161,0.004441714,7.997326825,241.640625,86.98425293,1.928806679
5791.pgm,256x256,7145,3.1172,TRUE,inf,0.006645804,0.012054061,7.996771676,293.640625,93.13659668,8.034195245
5792.pgm,256x256,15903,5.9531,TRUE,inf,0.004698998,0.006200691,7.997132422,260.1796875,78.31573486,0.879660214
5793.pgm,256x256,3076,1.1829,TRUE,inf,0.007165271,0.000296079,7.997579329,218.9375,97.18475342,33.80220899
5794.pgm,256x256,7625,2.312,TRUE,inf,0.000814698,0.004248133,7.997061748,265.546875,93.45703125,15.84826301
5795.pgm,256x256,6636,4.6492,TRUE,inf,0.004418835,0.004330702,7.997386646,237.7265625,89.32189941,2.003347359
5796.pgm,256x256,2480,5.3135,TRUE,inf,0.004112808,0.00453353,7.996989275,274.109375,85.94360352,1.049427706
5797.pgm,256x256,5920,4.6765,TRUE,inf,0.0034946,0.004249511,7.996834291,287.6640625,89.8223877,2.082196404
5798.pgm,256x256,7767,4.7402,TRUE,inf,0.002376682,0.004683532,7.997274044,245.90625,88.57574463,2.025828642
5799.pgm,256x256,6136,4.6682,TRUE,inf,0.004647675,0.002458725,7.996632689,306.8515625,89.68048096,2.066518746
58.pgm,256x256,10672,3.2903,TRUE,inf,0.001735444,0.001252186,7.997196271,254.1328125,90.58685303,7.54707486
580.pgm,256x256,11104,4.231,TRUE,inf,0.007775633,-0.001399682,7.997223676,252.6484375,88.77258301,3.772044462
5800.pgm,256x256,8428,4.7634,TRUE,inf,0.005041372,0.002754443,7.997155234,257.5625,88.12255859,1.975809733
5801.pgm,256x256,5375,3.7854,TRUE,inf,0.004417158,0.003349483,7.997188027,255.65625,93.00994873,4.167306937
5802.pgm,256x256,11574,4.231,TRUE,inf,0.001250638,0.003337232,7.996762753,293.765625,88.56658936,3.747217515
5803.pgm,256x256,1083,3.479,TRUE,inf,0.006685841,0.006280729,7.997331574,241.2734375,96.08154297,4.439810959
5804.pgm,256x256,2678,4.4785,TRUE,inf,0.004422907,0.00586441,7.997374035,238.3828125,92.08374023,2.134459252
5805.pgm,256x256,4304,2.0574,TRUE,inf,0.011765125,0.003220008,7.997651342,213.4453125,95.99151611,16.68351117
5806.pgm,256x256,6019,3.6978,TRUE,inf,0.002156573,0.003160834,7.997190034,255.3359375,92.66052246,4.040030685
5807.pgm,256x256,7695,4.7578,TRUE,inf,0.004548118,0.000261647,7.997209965,253.9375,88.63983154,2.001294903
5808.pgm,256x256,14441,5.1121,TRUE,inf,0.007144899,0.002660132,7.997247704,250.2578125,84.13085938,1.800626867
5809.pgm,256x256,13767,5.0942,TRUE,inf,0.004074354,0.001558846,7.99728836,246.21875,84.6282959,1.806868011
581.pgm,256x256,3612,3.7112,TRUE,inf,0.002661793,0.003600716,7.997294278,246.7109375,94.25811768,4.249716366
5810.pgm,256x256,7443,4.7688,TRUE,inf,0.007019358,0.005331133,7.996829843,287.59375,88.7878418,2.014896168
5811.pgm,256x256,6164,4.6814,TRUE,inf,0.005503957,0.003628377,7.997336374,242.1328125,89.65148926,2.047041351
5812.pgm,256x256,663,4.3596,TRUE,inf,0.003296056,0.001794158,7.996951827,275.8359375,93.37615967,2.202615177
5813.pgm,256x256,1923,4.4387,TRUE,inf,0.001922018,0.002437936,7.997241896,250.1875,92.56591797,2.163433
5814.pgm,256x256,6680,5.6143,TRUE,inf,0.006320335,0.0023765,7.996902247,281.9375,83.54034424,1.004752365
5815.pgm,256x256,8404,3.1396,TRUE,inf,0.00521924,0.001952114,7.997487676,227.90625,92.23632813,7.846171061
5816.pgm,256x256,900,4.3284,TRUE,inf,0.006792635,0.007439408,7.99733032,241.5390625,93.04962158,2.179182464
5817.pgm,256x256,2864,4.5078,TRUE,inf,0.002748494,0.004612509,7.997290944,246.53125,91.92199707,2.138276942
5818.pgm,256x256,8265,2.5569,TRUE,inf,0.00248375,0.001176216,7.99699035,273.7734375,93.14422607,15.65762389
5819.pgm,256x256,2701,4.4719,TRUE,inf,0.003567103,0.004039275,7.997198934,254.546875,91.78314209,2.147156958
582.pgm,256x256,14122,5.8513,TRUE,inf,0.004426287,0.003395253,7.996879237,283.359375,79.39758301,0.894452263
5820.pgm,256x256,8008,3.2158,TRUE,inf,0.004446149,0.003067335,7.996569194,311.359375,92.54760742,7.923278809
5821.pgm,256x256,441,3.4382,TRUE,inf,-0.000127144,0.001095152,7.997254439,248.7421875,96.59576416,4.445070753
5822.pgm,256x256,1164,4.4131,TRUE,inf,0.004500792,0.004464782,7.997229461,250.828125,92.93060303,2.20414704
5823.pgm,256x256,5384,4.6677,TRUE,inf,0.002332901,0.002399333,7.997019137,271.6015625,90.09094238,2.076960545
5824.pgm,256x256,7400,5.5391,TRUE,inf,0.006780297,0.004348825,7.997851398,195.8046875,83.21685791,0.982157389
5825.pgm,256x256,12383,4.9934,TRUE,inf,0.004065596,0.007510159,7.996936664,278.09375,85.41717529,1.843728458
5826.pgm,256x256,13290,5.0522,TRUE,inf,0.006867454,0.007401535,7.997155152,258.6015625,84.79309082,1.817178165
