Image,mean_zero_planes
160.pgm,5.5556640625
1600.pgm,4.8660888671875
1601.pgm,4.97918701171875
1602.pgm,4.51739501953125
1603.pgm,5.34735107421875
1604.pgm,5.28289794921875
1605.pgm,5.4959716796875
1606.pgm,4.83270263671875
1607.pgm,4.88543701171875
1608.pgm,4.92919921875
1609.pgm,5.2769775390625
161.pgm,4.55853271484375
1610.pgm,4.75750732421875
1611.pgm,5.00164794921875
1612.pgm,4.99346923828125
1613.pgm,5.11407470703125
1614.pgm,4.75250244140625
1615.pgm,4.7447509765625
1616.pgm,5.0943603515625
1617.pgm,5.83758544921875
1618.pgm,4.72357177734375
1619.pgm,4.80255126953125
162.pgm,4.101318359375
1620.pgm,4.85882568359375
1621.pgm,4.61651611328125
1622.pgm,4.1343994140625
1623.pgm,5.24432373046875
1624.pgm,5.234619140625
1625.pgm,5.26416015625
1626.pgm,4.95611572265625
1627.pgm,4.767333984375
1628.pgm,5.27203369140625
1629.pgm,5.05657958984375
163.pgm,3.39715576171875
1630.pgm,5.1466064453125
1631.pgm,5.3126220703125
1632.pgm,5.326416015625
1633.pgm,4.9993896484375
1634.pgm,4.65045166015625
1635.pgm,5.0948486328125
1636.pgm,3.9561767578125
1637.pgm,5.16650390625
1638.pgm,5.6697998046875
1639.pgm,4.52703857421875
164.pgm,4.76226806640625
1640.pgm,5.170654296875
1641.pgm,4.64349365234375
1642.pgm,3.37249755859375
1643.pgm,4.56768798828125
1644.pgm,4.54534912109375
1645.pgm,5.090087890625
1646.pgm,6.597412109375
1647.pgm,4.9879150390625
1648.pgm,4.8040771484375
1649.pgm,5.00152587890625
165.pgm,3.92431640625
1650.pgm,4.81365966796875
1651.pgm,5.27764892578125
1652.pgm,5.3988037109375
1653.pgm,4.74365234375
1654.pgm,4.21514892578125
1655.pgm,4.94158935546875
1656.pgm,4.849365234375
1657.pgm,5.00714111328125
1658.pgm,4.796630859375
1659.pgm,4.548583984375
166.pgm,5.4107666015625
1660.pgm,3.30291748046875
1661.pgm,4.49395751953125
1662.pgm,5.9278564453125
1663.pgm,4.86480712890625
1664.pgm,5.01861572265625
1665.pgm,4.9583740234375
1666.pgm,4.35302734375
1667.pgm,4.92034912109375
1668.pgm,4.76702880859375
1669.pgm,4.66461181640625
167.pgm,5.50439453125
