Image,mean_zero_planes
1255.pgm,4.63250732421875
1256.pgm,4.41754150390625
1257.pgm,3.72454833984375
1258.pgm,4.2906494140625
1259.pgm,4.730712890625
126.pgm,3.016845703125
1260.pgm,5.10577392578125
1261.pgm,4.7530517578125
1262.pgm,5.66192626953125
1263.pgm,4.1995849609375
1264.pgm,4.39459228515625
1265.pgm,5.52337646484375
1266.pgm,5.3406982421875
1267.pgm,3.84039306640625
1268.pgm,6.47796630859375
1269.pgm,4.77093505859375
127.pgm,4.3482666015625
1270.pgm,3.6129150390625
1271.pgm,4.54559326171875
1272.pgm,2.1663818359375
1273.pgm,5.758056640625
1274.pgm,3.95703125
1275.pgm,4.21258544921875
1276.pgm,5.6640625
1277.pgm,4.56170654296875
1278.pgm,4.71624755859375
1279.pgm,5.0965576171875
128.pgm,5.51287841796875
1280.pgm,6.1456298828125
1281.pgm,4.00244140625
1282.pgm,5.21075439453125
1283.pgm,4.5194091796875
1284.pgm,3.3365478515625
1285.pgm,4.888427734375
1286.pgm,4.73248291015625
1287.pgm,5.776611328125
1288.pgm,4.13800048828125
1289.pgm,2.83941650390625
129.pgm,4.48321533203125
1290.pgm,5.3743896484375
1291.pgm,4.33843994140625
1292.pgm,4.917724609375
1293.pgm,5.2247314453125
1294.pgm,4.285888671875
1295.pgm,4.20294189453125
1296.pgm,3.827392578125
1297.pgm,3.55084228515625
1298.pgm,5.1181640625
1299.pgm,5.64764404296875
13.pgm,4.705078125
130.pgm,5.012451171875
1300.pgm,5.21929931640625
1301.pgm,4.53179931640625
1302.pgm,5.53338623046875
1303.pgm,3.8060302734375
1304.pgm,6.11627197265625
1305.pgm,4.13739013671875
1306.pgm,4.49127197265625
1307.pgm,3.6336669921875
1308.pgm,5.61602783203125
1309.pgm,4.33770751953125
131.pgm,5.57958984375
1310.pgm,5.17657470703125
1311.pgm,5.36688232421875
1312.pgm,4.6466064453125
1313.pgm,5.5126953125
1314.pgm,5.912841796875
1315.pgm,3.5496826171875
1316.pgm,4.8480224609375
1317.pgm,4.4774169921875
1318.pgm,4.25787353515625
1319.pgm,3.77679443359375
132.pgm,4.862548828125
1320.pgm,5.01373291015625
1321.pgm,5.08026123046875
1322.pgm,5.8419189453125
1323.pgm,3.7650146484375
1324.pgm,3.27728271484375
1325.pgm,5.92535400390625
1326.pgm,4.5989990234375
1327.pgm,5.15570068359375
1328.pgm,3.9093017578125
1329.pgm,4.393310546875
133.pgm,4.2674560546875
1330.pgm,5.97222900390625
1331.pgm,4.78924560546875
1332.pgm,5.3951416015625
1333.pgm,4.57666015625
1334.pgm,5.43255615234375
1335.pgm,6.6219482421875
1336.pgm,3.96368408203125
