image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
6484.pgm,512x512,18305,3.7386,TRUE,inf,-0.00148025,0.002436088,7.999251148,272.8652344,93.57452393,4.208311193
6485.pgm,512x512,34193,2.5538,TRUE,inf,0.000395741,0.002358023,7.999285408,259.1191406,92.83294678,15.69860421
6486.pgm,512x512,56573,5.8401,TRUE,inf,-0.00015079,0.002355259,7.999318116,247.7011719,79.39186096,0.898371678
6487.pgm,512x512,2802,4.3688,TRUE,inf,0.00190573,0.001749028,7.999290611,257.9863281,93.17398071,2.210747214
6488.pgm,512x512,48627,4.2682,TRUE,inf,-0.000755097,0.000632725,7.999358018,233.6953125,88.26293945,3.710512647
6489.pgm,512x512,40522,4.1393,TRUE,inf,-0.000555179,0.001991396,7.999331716,242.7285156,89.65148926,3.84372038
649.pgm,512x512,17057,3.6459,TRUE,inf,1.88E-06,0.00471903,7.999223478,281.6953125,93.78547668,4.154808194
6490.pgm,512x512,35516,3.319,TRUE,inf,-0.000686166,0.004389974,7.999165189,303.5292969,91.86706543,7.816241395
6491.pgm,512x512,3565,3.5323,TRUE,inf,0.001911974,0.002789836,7.999398878,218.5976563,96.23832703,4.437938017
6492.pgm,512x512,28352,3.9092,TRUE,inf,-0.000327515,0.002449662,7.999307124,252.359375,91.88613892,4.035731297
6493.pgm,512x512,33754,2.515,TRUE,inf,0.000900314,0.001603605,7.999294541,256.0429688,92.89474487,15.67532558
6494.pgm,512x512,28664,1.6609,TRUE,inf,-0.000430793,0.004520233,7.999316168,248.0195313,94.22531128,32.0766075
6495.pgm,512x512,22955,2.2849,TRUE,inf,-0.000357652,0.001101034,7.99924848,273.6308594,94.9432373,16.55175003
6496.pgm,512x512,35707,4.8211,TRUE,inf,7.35E-05,0.000142928,7.999272845,264.140625,87.73231506,1.963855519
6497.pgm,512x512,3068,4.3633,TRUE,inf,-0.001243221,0.002491161,7.999355858,234.5820313,93.19381714,2.209703034
6498.pgm,512x512,51002,5.7845,TRUE,inf,0.001138051,0.003773904,7.999266098,266.0175781,80.26390076,0.918737673
6499.pgm,512x512,61076,5.1416,TRUE,inf,0.000730458,0.003891768,7.999361878,232.0371094,83.56819153,1.761245728
65.pgm,512x512,25094,3.8394,TRUE,inf,0.002955729,0.002299166,7.99918932,294.9882813,92.41867065,4.030743767
650.pgm,512x512,50265,4.2346,TRUE,inf,0.000471465,0.001987563,7.999320771,246.6972656,87.98599243,3.685473274
6500.pgm,512x512,14111,4.5225,TRUE,inf,0.000578455,0.001537531,7.999338204,240.3769531,91.40739441,2.122934379
6501.pgm,512x512,16458,2.9332,TRUE,inf,0.000612743,0.001385986,7.999170034,301.5214844,95.41893005,8.424259261
