image_name,image_size,I_corr_h,I_corr_v,I_se,I_chi2,If_corr_h,If_corr_v,If_se,If_chi2,Im_corr_h,Im_corr_v,Im_se,Im_chi2,npcr_If_I,uaci_If_I,mae_If_I,npcr_Im_I,uaci_Im_I,mae_Im_I,npcr_Im_If,uaci_Im_If,mae_Im_If,embedded_bits,capacity_bpp,extraction_success,psnr_recovery
4441.pgm,256x256,0.988578,0.981943,7.542747,40513.7,0.004112,-0.000741,7.997105,263.56,0.004121,-0.000718,7.997054,267.62,99.6017,32.1747,82.0455,99.6094,32.1747,82.0456,6.4926,0.0255,0.0649,8617,3.9285,True,inf
4442.pgm,256x256,0.966286,0.951754,6.726597,152340.26,0.004292,0.002796,7.99726,248.44,0.004298,0.002808,7.997274,247.56,99.6521,31.2152,79.5987,99.6536,31.215,79.5983,1.6129,0.0063,0.0161,2116,4.4175,True,inf
4443.pgm,256x256,0.988713,0.983416,7.342065,64761.42,0.000809,-0.000546,7.997193,255.37,0.000807,-0.000548,7.997186,255.95,99.5956,31.282,79.7691,99.5956,31.2821,79.7694,0.3708,0.0015,0.0037,467,4.2615,True,inf
4444.pgm,256x256,0.910544,0.933802,5.745565,357119.67,0.003736,0.003608,7.997332,243.02,0.00372,0.003611,7.997257,249.2,99.6292,27.6324,70.4625,99.6323,27.6322,70.4621,3.8788,0.0152,0.0388,5120,4.5574,True,inf
4445.pgm,256x256,0.985132,0.98185,7.001968,147992.28,0.000511,-3.3e-05,7.99735,240.09,0.000543,-2.5e-05,7.997184,254.64,99.585,33.2974,84.9084,99.588,33.2972,84.9079,4.3137,0.0169,0.0431,5492,3.7395,True,inf
4446.pgm,256x256,0.890601,0.821705,6.817045,111811.5,0.00084,0.005608,7.997125,261.7,0.000836,0.005608,7.997053,267.95,99.614,30.597,78.0222,99.6094,30.5973,78.023,1.7548,0.0069,0.0175,2298,2.6438,True,inf
4447.pgm,256x256,0.993038,0.984571,6.838851,162701.18,0.002264,-0.001275,7.997609,216.57,0.002261,-0.001274,7.997571,219.91,99.6262,35.1737,89.6929,99.6246,35.1737,89.6929,1.3275,0.0052,0.0133,1716,4.3462,True,inf
4448.pgm,256x256,0.988434,0.984467,7.637325,25327.44,0.004951,-0.000788,7.997344,239.32,0.004952,-0.000776,7.99735,238.74,99.6918,30.3115,77.2943,99.6918,30.3114,77.2942,1.7578,0.0069,0.0176,2287,4.394,True,inf
4449.pgm,256x256,0.980391,0.968891,6.880746,141115.38,0.003704,-0.000591,7.997186,256.04,0.003702,-0.000597,7.997142,260.27,99.6262,32.1786,82.0554,99.6201,32.1779,82.0536,5.7434,0.0225,0.0574,7483,4.7134,True,inf
445.pgm,256x256,0.997835,0.995413,7.17269,104151.32,0.003904,-0.000507,7.997105,263.02,0.003902,-0.000455,7.997127,260.48,99.6292,33.5007,85.4268,99.6353,33.5014,85.4285,11.6272,0.0456,0.1163,15015,5.1184,True,inf
4450.pgm,256x256,0.972529,0.967539,7.277809,95432.09,0.004149,0.004568,7.997268,248.37,0.004146,0.004582,7.997217,253.58,99.6384,32.8407,83.7437,99.6429,32.8413,83.7452,3.7964,0.0149,0.038,4892,3.741,True,inf
4451.pgm,256x256,0.941489,0.919471,7.586077,53137.84,0.002086,0.000208,7.997583,219.23,0.002114,0.000188,7.997665,211.13,99.6399,30.0712,76.6817,99.646,30.0712,76.6815,4.2725,0.0168,0.0427,5636,2.239,True,inf
4452.pgm,256x256,0.982559,0.968001,7.526596,38272.82,0.004475,-0.001639,7.997431,231.41,0.004467,-0.001637,7.997482,227.14,99.6216,31.9108,81.3725,99.614,31.9118,81.375,7.7377,0.0303,0.0774,10058,3.2368,True,inf
4453.pgm,256x256,0.989815,0.980981,7.323525,53875.15,0.004073,5.9e-05,7.996843,286.94,0.004088,5.1e-05,7.996812,289.94,99.6552,29.4128,75.0025,99.6582,29.4122,75.001,3.4424,0.0135,0.0344,4564,4.4993,True,inf
4454.pgm,256x256,0.992341,0.98384,6.70102,509050.76,0.003351,0.001304,7.997244,251.4,0.00335,0.001305,7.997207,254.73,99.6338,33.2236,84.7203,99.6338,33.2237,84.7204,0.1907,0.0007,0.0019,253,4.3003,True,inf
4455.pgm,256x256,0.975732,0.972212,6.059814,310190.69,0.006202,0.000712,7.997359,238.03,0.006207,0.000702,7.997395,235.12,99.5621,28.6076,72.9494,99.5667,28.608,72.9505,3.1158,0.0122,0.0312,4085,5.4028,True,inf
